Personnel No.,Total Working Days,Annual Leave Days,Unapproved Absence Days,Approved Absence Days,Absence Rate (%)
625020285,6,0,0,0,0.00%
625020286,6,0,0,0,0.00%
625020354,6,0,0,0,0.00%
625020385,6,0,0,0,0.00%
625020386,6,0,0,0,0.00%
625020419,6,0,1,0,16.67%
625020420,6,0,0,2,33.33%
625020464,6,0,0,0,0.00%
625020465,6,0,2,0,33.33%
625020481,6,0,0,0,0.00%
625020482,6,1,0,0,0.00%
625020507,6,0,0,0,0.00%
625020542,6,0,0,0,0.00%
625020543,6,0,0,0,0.00%
625020551,6,0,0,0,0.00%
625020591,6,0,0,0,0.00%
625020600,6,0,1,0,16.67%
625020638,6,0,0,0,0.00%
625030004,6,0,0,0,0.00%
625030005,6,0,0,0,0.00%
625030006,6,0,0,0,0.00%
625030021,6,0,0,0,0.00%
625030063,4,0,0,0,0.00%
625030090,2,0,0,0,0.00%
625030091,2,0,0,0,0.00%
625030111,2,0,0,0,0.00%
