Personnel No.,Total Working Days,Annual Leave Days,Unapproved Absence Days,Approved Absence Days,Absence Rate (%)
623120136,23,0,0,1,4.35%
624020006,23,1,0,0,0.00%
624020037,23,1,0,0,0.00%
624020044,23,1,0,0,0.00%
624020045,8,0,2,0,25.00%
624020085,23,2,0,0,0.00%
624020086,23,0,0,0,0.00%
624020087,23,1,0,2,9.09%
624020107,23,0,0,0,0.00%
624020152,23,1,0,0,0.00%
624020153,23,0,0,0,0.00%
624020155,23,0,0,0,0.00%
624020170,23,1,0,0,0.00%
624020210,23,1,0,0,0.00%
624020214,24,0,0,0,0.00%
624020369,23,1,0,0,0.00%
624020479,23,1,0,0,0.00%
624020499,23,0,0,0,0.00%
624020551,24,0,0,0,0.00%
624020552,23,0,0,0,0.00%
624030007,23,0,0,3,13.04%
624030016,23,0,0,0,0.00%
624030038,23,1,0,0,0.00%
624030041,22,0,5,0,22.73%
624030072,23,0,0,0,0.00%
624030073,22,0,4,4,36.36%
624030105,23,1,0,0,0.00%
624030159,23,1,0,1,4.55%
624030168,14,1,5,0,38.46%
624030191,23,1,0,0,0.00%
624030256,23,1,0,4,18.18%
624030257,24,0,0,0,0.00%
624030271,23,0,0,0,0.00%
624030294,23,1,0,0,0.00%
624030295,23,0,0,0,0.00%
624030334,23,1,0,0,0.00%
624030362,23,0,0,0,0.00%
624030442,23,1,0,1,4.55%
624030533,23,0,0,0,0.00%
624030607,23,1,0,2,9.09%
624030608,23,0,0,0,0.00%
624030609,23,1,3,3,27.27%
624030671,23,0,1,1,8.70%
624030672,23,0,0,1,4.35%
624040011,23,0,0,6,26.09%
624040035,23,0,0,1,4.35%
624040161,16,0,5,0,31.25%
624040238,23,1,0,1,4.55%
624040270,24,0,0,0,0.00%
624040282,23,0,0,3,13.04%
624040283,23,0,0,0,0.00%
624040330,23,1,0,0,0.00%
624040331,23,2,0,0,0.00%
624040410,23,1,0,0,0.00%
624050151,23,0,0,1,4.35%
624050200,23,0,0,2,8.70%
624050331,24,0,0,0,0.00%
624050332,2,0,2,0,100.00%
624050450,23,0,0,0,0.00%
624050471,23,1,0,4,18.18%
624050492,23,1,0,0,0.00%
624060009,23,0,0,0,0.00%
624060028,23,1,0,1,4.55%
624060040,23,0,0,2,8.70%
624060058,23,0,0,0,0.00%
624060059,23,0,1,1,8.70%
624060087,23,0,0,0,0.00%
624060131,23,0,0,0,0.00%
624060132,23,0,0,0,0.00%
624060254,23,1,0,0,0.00%
624060316,23,0,1,1,8.70%
624060317,23,0,0,0,0.00%
624060318,23,0,0,1,4.35%
624060331,23,0,0,0,0.00%
624060384,23,0,1,1,8.70%
624070010,23,0,0,0,0.00%
624070011,23,1,0,0,0.00%
624070019,15,0,5,0,33.33%
624070020,23,0,1,1,8.70%
624070060,23,0,0,2,8.70%
624070084,23,0,0,1,4.35%
624070192,23,0,0,1,4.35%
624070225,23,1,0,0,0.00%
624070226,23,0,0,0,0.00%
624070227,23,1,0,2,9.09%
624070231,23,1,0,0,0.00%
624070250,23,2,0,0,0.00%
624070252,23,1,0,5,22.73%
624070278,23,1,0,1,4.55%
624070310,23,1,0,1,4.55%
624070337,23,0,0,4,17.39%
624070338,23,0,0,0,0.00%
624070339,23,0,0,3,13.04%
624070354,11,0,5,0,45.45%
624070393,23,1,0,0,0.00%
624070394,23,0,0,0,0.00%
624080015,23,0,1,0,4.35%
624080032,23,0,0,0,0.00%
624080082,23,0,0,0,0.00%
624080083,23,0,0,0,0.00%
624080125,23,0,0,3,13.04%
624080126,23,1,0,0,0.00%
624080127,23,0,0,0,0.00%
624080166,23,1,0,0,0.00%
624080199,23,1,0,0,0.00%
624080234,23,1,0,2,9.09%
624080235,23,0,0,1,4.35%
624080236,23,1,0,3,13.64%
624080310,23,0,0,1,4.35%
624080311,23,1,2,1,13.64%
624080340,23,0,0,0,0.00%
624080351,23,1,0,0,0.00%
624080352,23,1,0,0,0.00%
624080354,23,0,0,0,0.00%
624080417,23,0,0,0,0.00%
624080430,23,1,0,0,0.00%
624090012,23,1,0,0,0.00%
624090037,23,1,0,1,4.55%
624090048,23,2,0,0,0.00%
624090058,23,0,0,0,0.00%
624090059,23,0,1,2,13.04%
624090130,23,0,0,1,4.35%
624090131,23,1,0,0,0.00%
624090178,23,0,0,0,0.00%
624090210,23,1,0,1,4.55%
624090221,23,1,0,0,0.00%
624090222,23,1,1,0,4.55%
624090245,23,0,0,0,0.00%
624090271,23,2,0,0,0.00%
624090272,3,0,3,0,100.00%
624090320,23,1,0,1,4.55%
624090321,23,0,0,0,0.00%
624090322,23,0,0,4,17.39%
624090323,23,0,0,1,4.35%
624090346,23,1,0,0,0.00%
624090373,23,0,0,1,4.35%
624090423,23,1,0,1,4.55%
624090443,23,1,0,2,9.09%
624090444,23,0,0,1,4.35%
624090468,9,0,3,0,33.33%
624090482,23,1,2,0,9.09%
624090502,23,0,0,0,0.00%
624090503,23,0,0,0,0.00%
624100015,23,0,0,0,0.00%
624100065,23,1,0,0,0.00%
624100170,10,0,5,0,50.00%
624100171,23,1,0,0,0.00%
624100172,23,0,0,1,4.35%
624100200,23,0,0,0,0.00%
624100230,23,1,0,0,0.00%
624100273,5,0,0,0,0.00%
624100308,23,0,0,0,0.00%
624100316,23,0,0,0,0.00%
624100345,23,0,0,0,0.00%
624100346,23,1,0,0,0.00%
624100379,23,0,0,0,0.00%
624100441,10,0,5,0,50.00%
624100457,23,0,0,0,0.00%
624100458,4,0,0,0,0.00%
624100460,23,0,0,0,0.00%
624110015,23,0,0,0,0.00%
624110084,23,1,0,0,0.00%
624110109,23,1,0,3,13.64%
624110136,13,0,4,2,46.15%
624110157,3,0,2,0,66.67%
624110158,23,1,0,0,0.00%
624110199,23,0,5,0,21.74%
624110228,23,0,0,0,0.00%
624110274,23,1,0,1,4.55%
624110346,23,0,0,0,0.00%
624120070,23,1,0,0,0.00%
624120097,23,0,0,0,0.00%
624120130,23,0,0,3,13.04%
624120143,23,0,0,0,0.00%
624120144,23,1,0,0,0.00%
624120157,16,0,5,0,31.25%
624120158,16,0,5,0,31.25%
625010030,23,0,0,0,0.00%
625020005,23,0,0,1,4.35%
625020044,19,0,0,0,0.00%
625020045,3,0,1,0,33.33%
625020092,17,0,0,0,0.00%
625020143,15,0,0,0,0.00%
625020179,15,0,0,0,0.00%
625020285,11,0,0,0,0.00%
625020286,11,0,0,0,0.00%
625020354,10,0,0,1,10.00%
625020385,10,0,0,0,0.00%
625020386,10,0,0,0,0.00%
625020419,9,0,0,1,11.11%
625020420,9,0,0,1,11.11%
625020464,8,0,0,1,12.50%
625020465,8,0,0,0,0.00%
625020481,8,0,0,0,0.00%
625020482,8,0,0,0,0.00%
625020507,7,0,0,0,0.00%
625020527,6,0,4,0,66.67%
625020542,6,0,0,0,0.00%
625020543,6,0,0,0,0.00%
625020551,6,0,0,0,0.00%
625020591,4,0,0,0,0.00%
625020600,4,0,0,0,0.00%
625020638,3,0,0,0,0.00%
